epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7261,0.75081,5.76474,1.2178,0.1796,0.30769,0.12693,0.11568,0.41554,7.51769,0.93232,6e-05,6e-05,6e-05
2,35.3616,0.71244,5.47495,1.19063,0.84202,0.84615,0.93183,0.83844,0.31677,5.73741,0.87069,0.000138614,0.000138614,0.000138614
3,39.8977,0.73006,3.81554,1.19295,0.98822,0.76923,0.84969,0.81416,0.37935,5.18325,0.87578,0.000215644,0.000215644,0.000215644
4,44.2979,0.75813,2.42438,1.14423,0.7692,0.7691,0.8225,0.62993,0.74785,3.7996,1.1192,0.00029109,0.00029109,0.00029109
5,48.6106,0.69377,1.93772,1.13769,0.98877,0.84615,0.845,0.72383,0.79454,3.42904,1.16135,0.000364952,0.000364952,0.000364952
6,53.0596,0.8362,1.77105,1.25713,0.71424,0.84615,0.79942,0.58012,1.13233,4.58397,1.57121,0.00043723,0.00043723,0.00043723
7,57.4531,0.79126,1.56087,1.14607,0.78901,0.61538,0.6623,0.52673,0.96638,3.70096,1.30337,0.000507924,0.000507924,0.000507924
8,61.7526,0.84705,1.41096,1.19818,0.91556,0.83491,0.91817,0.63487,0.76529,5.72323,1.31979,0.000577034,0.000577034,0.000577034
9,65.963,0.81596,1.3891,1.1832,0.90805,0.92308,0.93418,0.76303,0.5523,7.35155,1.03404,0.00064456,0.00064456,0.00064456
10,70.5105,0.85273,1.2752,1.21365,0.8297,0.84615,0.89359,0.67037,0.80111,6.94432,1.40966,0.000710502,0.000710502,0.000710502
11,74.679,0.73195,0.97615,1.06419,0.7952,0.59878,0.66305,0.42263,1.26461,4.48207,1.90097,0.00077486,0.00077486,0.00077486
12,78.97,0.81485,0.90091,1.15246,0.88886,0.69231,0.70096,0.51346,1.18194,1.83749,1.70679,0.000837634,0.000837634,0.000837634
13,83.2958,0.86583,0.99185,1.14615,0.42593,0.61538,0.49767,0.36251,1.14067,3.42552,1.81263,0.000898824,0.000898824,0.000898824
14,87.4218,0.75853,0.89343,1.11293,0.90878,0.76657,0.83565,0.62501,0.88413,2.7216,1.61987,0.00095843,0.00095843,0.00095843
15,91.6693,0.72356,0.81003,1.08594,0.50379,0.46912,0.50386,0.37051,0.94094,2.62872,1.41535,0.00101645,0.00101645,0.00101645
16,95.7366,0.80886,0.82074,1.15333,0.89206,0.76923,0.86219,0.66468,0.7412,1.57344,1.21149,0.00107289,0.00107289,0.00107289
17,99.8253,0.7976,0.77077,1.13088,0.61796,0.53846,0.54538,0.45767,0.78502,2.4882,1.21125,0.00112774,0.00112774,0.00112774
18,104.118,0.75679,0.82994,1.14521,0.02169,0.15385,0.00836,0.00324,2.30938,16.0609,3.50091,0.00118101,0.00118101,0.00118101
19,108.304,0.83303,0.83694,1.18458,0.00051,0.15385,9e-05,2e-05,3.01712,447.242,6.06449,0.0012327,0.0012327,0.0012327
20,112.417,0.92617,0.9035,1.24379,0.00026,0.07692,2e-05,1e-05,2.92705,1318.13,5.00748,0.0012828,0.0012828,0.0012828
21,116.564,0.751,0.69668,1.08588,0,0,0,0,3.33336,537.731,9.31847,0.00133132,0.00133132,0.00133132
22,120.714,0.87546,0.81523,1.17297,0,0,0,0,4.40738,29889.5,47.8109,0.00137825,0.00137825,0.00137825
23,124.892,0.77687,0.7871,1.19006,0,0,0,0,6.93721,162514,158.383,0.0014236,0.0014236,0.0014236
